Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01929.07","Abaca, manila hemp, raw","2010","2010","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01929.07","Abaca, manila hemp, raw","2011","2011","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01929.07","Abaca, manila hemp, raw","2012","2012","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01929.07","Abaca, manila hemp, raw","2013","2013","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01929.07","Abaca, manila hemp, raw","2010","2010","1000 US$","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01929.07","Abaca, manila hemp, raw","2011","2011","1000 US$","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01929.07","Abaca, manila hemp, raw","2012","2012","1000 US$","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5622","Import Value","01929.07","Abaca, manila hemp, raw","2013","2013","1000 US$","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01929.07","Abaca, manila hemp, raw","2010","2010","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01929.07","Abaca, manila hemp, raw","2011","2011","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01929.07","Abaca, manila hemp, raw","2012","2012","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5910","Export Quantity","01929.07","Abaca, manila hemp, raw","2013","2013","tonnes","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01929.07","Abaca, manila hemp, raw","2010","2010","1000 US$","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01929.07","Abaca, manila hemp, raw","2011","2011","1000 US$","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01929.07","Abaca, manila hemp, raw","2012","2012","1000 US$","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5922","Export Value","01929.07","Abaca, manila hemp, raw","2013","2013","1000 US$","0","E","Estimated value"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01371","Almonds, in shell","2010","2010","tonnes","69","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01371","Almonds, in shell","2011","2011","tonnes","411","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01371","Almonds, in shell","2012","2012","tonnes","4713","A","Official figure"
"TCL","Crops and livestock products","840","United States of America","5610","Import Quantity","01371","Almonds, in shell","2013","2013","tonnes","14683","A","Official figure"
