Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01371","Almonds, in shell","2010","2010","tonnes","2","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01371","Almonds, in shell","2011","2011","tonnes","1","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01371","Almonds, in shell","2013","2013","tonnes","1","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01371","Almonds, in shell","2014","2014","tonnes","69.81","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01371","Almonds, in shell","2015","2015","tonnes","6.61","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01371","Almonds, in shell","2016","2016","tonnes","4.07","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01371","Almonds, in shell","2017","2017","tonnes","3.13","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01371","Almonds, in shell","2018","2018","tonnes","3.29","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01371","Almonds, in shell","2019","2019","tonnes","0.47","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5610","Import Quantity","01371","Almonds, in shell","2020","2020","tonnes","7.66","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","01371","Almonds, in shell","2010","2010","tonnes","1609","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","01371","Almonds, in shell","2011","2011","tonnes","5299","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","01371","Almonds, in shell","2012","2012","tonnes","15850","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","01371","Almonds, in shell","2013","2013","tonnes","11091","A","Official figure"
"TM","Detailed trade matrix","840","United States of America","156","China, mainland","5910","Export Quantity","01371","Almonds, in shell","2014","2014","tonnes","2715.17","A","Official figure"
